"RANK","Nom Unité Opérationnelle","Identifiant GED","Site CEC","Service","Fournisseur","Blocage","Chef de projet","Entité","CA","Num commande","Montant de la commande/Appel de cde","Montant des réceptions","Montant des factures","Montant mise à disposition","Numéro Facture","Montant Facture TTC (DEVISE)","Devise Facture","Type","Acheteur","Type d'achat PO","Intervenant","Nombre de jours à l'échéance","Échéance"
"1","JF8_26131:12833",">_728509_18839433","Port Jorf","JORF Z","Fournisseur X","Missing","Missing","Missing","Missing",">5780685","85659100","53947700","58276000","71919400","E_2553162","10524500","MAD","F locaux","KANFAOUI.55","S - stocks","Litige","31","Echue dans 60 jours"
"2","JF8_97103:58770","CDS30403_0210_58985","Port Jorf","JORF B","Fournisseur Y","XX","XX","2","2","@4698147","71943400","15008900","29534800","34343100","<_6257420","27330400","USD","F étrangers","SAMAR.8888","M - marché","SPOC","11","Echue dans 30 jours"
"3","JF8_27916:17923","330_0003_565614","Port Jorf","JORF Z","Fournisseur Z","XX","XX","3","3","E4327350","72290000","6568320","8875140","59024700",">_5657991","38459400","USD","F étrangers","RIYAHI.8545","M - Frais communs - Achats de Travaux, Etudes et Prestations de service","SPOC","-12","Echue"
"4","OCP_69663:44853","30_0003_500521","Port Jorf","JORF B","Fournisseur A","XX","XX","4","4","C2420258","67598900","17855900","29565100","18318000","D_6262577","18238800","MAD","F locaux","KARAMI.5898","E - Equipement","SPOC","47","Echue dans 60 jours"
"5","JF8_42540:82245","0921_0090_33254415","Port Jorf","JORF Z","Fournisseur B","XX","XX","5","5",">4719529","78773800","38593500","59962800","123225","=_2888700","111230","MAD","F locaux","HASSAN.3333","M - Frais communs - Achats de Travaux, Etudes et Prestations de service","SPOC","60","Echue dans 60 jours"
"6","OCP_8195:52994","322_0117_561358652","Port Jorf","JORF B","Fournisseur C","XX","XX","6","6","B101941","46667100","906098","6308120","41877600","C_4489521","12680400","MAD","F locaux","RABII.888","S - stocks","SPOC","20","Echue dans 30 jours"
"11","OCP_71295:84485","V_120537_60359265","Port Jorf","JORF Z","Fournisseur X","Missing","Missing","Missing","Missing","B5063281","95771200","29756100","36932100","92662600","A_389648","11574500","MAD","F locaux","KANFAOUI.56","S - stocks","Litige","30","Echue dans 30 jours"
"12","JF8_93743:62473","CDS30403_0210_58986","Port Jorf","JORF B","Fournisseur Y","XX","XX","12","12","D114250","89596700","8552830","8694220","69636600","?_1687022","44299800","EUR","F étrangers","SAMAR.8889","M - marché","SPOC","4","Echue dans 7 jours"
"13","OCP_42681:88597","330_0003_565615","Port Jorf","JORF Z","Fournisseur Z","XX","XX","13","13","?793200","1252500","78590","520169","437077","<_6332059","73614","USD","F étrangers","RIYAHI.8546","M - Frais communs - Achats de Travaux, Etudes et Prestations de service","SPOC","34","Echue dans 60 jours"
"14","JF8_55952:12943","30_0003_500522","Port Jorf","JORF B","Fournisseur A","XX","XX","14","14","=5073192","21529900","6655780","13729000","11879600","?_2581429","543985","MAD","F locaux","KARAMI.5899","E - Equipement","SPOC","17","Echue dans 30 jours"
