"RANK","Nom Unité Opérationnelle","Identifiant GED","Site CEC","Service","Fournisseur","Blocage","Chef de projet","Entité","CA","Num commande","Montant de la commande/Appel de cde","Montant des réceptions","Montant des factures","Montant mise à disposition","Numéro Facture","Montant Facture TTC (DEVISE)","Devise Facture","Type","Acheteur","Type d'achat PO","Intervenant","Nombre de jours à l'échéance","Échéance"
"1","JF8_34272:56812","L_774645_79451929","Port Jorf","JORF Z","Fournisseur X","Missing","Missing","Missing","Missing","D3427623","70970600","2019000","33286700","13828400","=_2298849","12684900","MAD","F locaux","KANFAOUI.55","S - stocks","Litige","-8","Echue"
"11","JF8_28471:77616","F_80391_27107932","Port Jorf","JORF Z","Fournisseur X","Missing","Missing","Missing","Missing","B6073303","42917500","35204200","35247000","41048000",">_1982479","21074400","MAD","F locaux","KANFAOUI.56","S - stocks","Litige","-3","Echue"
"21","OCP_40622:9213","K_710861_77397075","Port Jorf","JORF Z","Fournisseur X","Missing","Missing","Missing","Missing","=1255982","95081300","64901200","81662400","84575700",">_4709946","62647200","MAD","F locaux","KANFAOUI.57","S - stocks","Litige","4","Echue dans 7 jours"
"31","JF8_11439:50865","Q_707140_33016509","Port Jorf","JORF Z","Fournisseur X","Missing","Missing","Missing","Missing",">4848350","32831500","5682880","6344080","9874670",">_2481410","7352190","MAD","F locaux","KANFAOUI.58","S - stocks","Litige","26","Echue dans 30 jours"
"41","OCP_1458:32527","?_399857_97055174","Port Jorf","JORF Z","Fournisseur X","Missing","Missing","Missing","Missing","?372418","95910500","420909","474264","2862920","E_2046676","1792890","MAD","F locaux","KANFAOUI.59","S - stocks","Litige","18","Echue dans 30 jours"
"51","JF8_32586:95294",">_785217_99067842","Port Jorf","JORF Z","Fournisseur X","Missing","Missing","Missing","Missing","A1914743","13331100","533426","1972870","7440560","@_287230","2812000","MAD","F locaux","KANFAOUI.60","S - stocks","Litige","11","Echue dans 30 jours"
"61","JF8_11840:92236","T_688547_80760252","Port Jorf","JORF Z","Fournisseur X","Missing","Missing","Missing","Missing","B1393945","63476400","9211400","53707200","50636000",">_647571","34317200","MAD","F locaux","KANFAOUI.61","S - stocks","Litige","49","Echue dans 60 jours"
"71","OCP_74755:53887","P_146255_84097215","Port Jorf","JORF Z","Fournisseur X","Missing","Missing","Missing","Missing","A1749610","72151500","33554200","44912700","4649880","?_5243687","1520070","MAD","F locaux","KANFAOUI.62","S - stocks","Litige","19","Echue dans 30 jours"
"81","OCP_21623:45402","I_934163_89690402","Port Jorf","JORF Z","Fournisseur X","Missing","Missing","Missing","Missing","E1240867","10155000","9371540","9506540","8578910","=_3900976","7464180","MAD","F locaux","KANFAOUI.63","S - stocks","Litige","29","Echue dans 30 jours"
"91","OCP_66111:61784","T_800378_71742894","Port Jorf","JORF Z","Fournisseur X","Missing","Missing","Missing","Missing","=4413439","53882200","2099640","4245760","7707240","A_3149743","6541160","MAD","F locaux","KANFAOUI.64","S - stocks","Litige","-5","Echue"
"101","JF8_15439:34379","H_251840_69723008","Port Jorf","JORF Z","Fournisseur X","Missing","Missing","Missing","Missing","B6301268","60615400","5995140","25641900","23645800","=_4818117","19283500","MAD","F locaux","KANFAOUI.65","S - stocks","Litige","51","Echue dans 60 jours"
"111","JF8_73147:83421","=_256254_91730095","Port Jorf","JORF Z","Fournisseur X","Missing","Missing","Missing","Missing","<1066355","40595300","27778900","36531000","11503600","=_2050950","6744880","MAD","F locaux","KANFAOUI.66","S - stocks","Litige","-1","Echue"
"121","JF8_9582:9861","V_436450_46022028","Port Jorf","JORF Z","Fournisseur X","Missing","Missing","Missing","Missing","@2645676","18561800","4830160","16586800","2296860","<_1035843","1124290","MAD","F locaux","KANFAOUI.67","S - stocks","Litige","17","Echue dans 30 jours"
"131","JF8_40416:46256","J_736380_75892592","Port Jorf","JORF Z","Fournisseur X","Missing","Missing","Missing","Missing","=2692766","48872200","15130500","29457500","16739300","F_6191283","7252080","MAD","F locaux","KANFAOUI.68","S - stocks","Litige","47","Echue dans 60 jours"
"141","OCP_57132:51455","S_452215_77034408","Port Jorf","JORF Z","Fournisseur X","Missing","Missing","Missing","Missing","F2463503","15007200","5977520","7269680","7536450","B_4048420","4702450","MAD","F locaux","KANFAOUI.69","S - stocks","Litige","39","Echue dans 60 jours"
"151","JF8_10200:49296","@_296486_60438484","Port Jorf","JORF Z","Fournisseur X","Missing","Missing","Missing","Missing","F1553950","45996400","4150410","26217000","36711700","=_892068","1117470","MAD","F locaux","KANFAOUI.70","S - stocks","Litige","1","Echue dans 7 jours"
"161","OCP_78925:25455","I_955077_72217246","Port Jorf","JORF Z","Fournisseur X","Missing","Missing","Missing","Missing","E3335441","56587600","20951800","29446000","42281700","F_2293176","37188800","MAD","F locaux","KANFAOUI.71","S - stocks","Litige","47","Echue dans 60 jours"
"171","JF8_92659:9534","?_97982_9572479","Port Jorf","JORF Z","Fournisseur X","Missing","Missing","Missing","Missing","<5866209","8859240","3227560","7902920","2392000","C_1611019","1832650","MAD","F locaux","KANFAOUI.72","S - stocks","Litige","47","Echue dans 60 jours"
"181","JF8_35592:44092","I_556649_68724884","Port Jorf","JORF Z","Fournisseur X","Missing","Missing","Missing","Missing","?1985597","16311400","796097","1352660","1868290","A_322509","384185","MAD","F locaux","KANFAOUI.73","S - stocks","Litige","-10","Echue"
"191","JF8_26308:11124","Z_839220_10212152","Port Jorf","JORF Z","Fournisseur X","Missing","Missing","Missing","Missing","C6382139","21922500","19896900","21275400","4851990","?_6514337","2653620","MAD","F locaux","KANFAOUI.74","S - stocks","Litige","44","Echue dans 60 jours"
"201","JF8_67602:2231","V_696054_10119163","Port Jorf","JORF Z","Fournisseur X","Missing","Missing","Missing","Missing","F1135148","4933160","837019","2689430","4871160","@_2421770","4105070","MAD","F locaux","KANFAOUI.75","S - stocks","Litige","48","Echue dans 60 jours"
"211","JF8_64228:9575","B_105548_34551088","Port Jorf","JORF Z","Fournisseur X","Missing","Missing","Missing","Missing","=1730711","75556200","18214400","27328300","47109900",">_3672123","33482800","MAD","F locaux","KANFAOUI.76","S - stocks","Litige","-10","Echue"
"212","OCP_24977:43634","CDS30403_0210_59006","Port Jorf","JORF B","Fournisseur Y","XX","XX","JFC18","Karim.Hfad",">2068805","22891200","1422320","2275860","17699900","<_3908800","6592540","USD","F étrangers","SAMAR.8909","M - marché","SPOC","2","Echue dans 7 jours"
"221","OCP_69318:68256","S_432792_86981434","Port Jorf","JORF Z","Fournisseur X","Missing","Missing","Missing","Missing","C2844861","49601500","2375640","46948000","24491700","E_5786985","23587300","MAD","F locaux","KANFAOUI.77","S - stocks","Litige","43","Echue dans 60 jours"
"222","JF8_857:57749","CDS30403_0210_59007","Port Jorf","JORF B","Fournisseur Y","XX","XX","JFC19","Karim.Hfad","?4748474","58711000","6916710","11836200","52837000","A_925470","32714500","EUR","F étrangers","SAMAR.8910","M - marché","SPOC","26","Echue dans 30 jours"
"231","JF8_59910:87171","R_369902_94726867","Port Jorf","JORF Z","Fournisseur X","Missing","Missing","Missing","Missing","<5563100","85832200","38970700","56298500","24745400","C_471332","3943260","MAD","F locaux","KANFAOUI.78","S - stocks","Litige","55","Echue dans 60 jours"
"233","OCP_38025:13596","330_0003_565637","Port Jorf","JORF Z","Fournisseur Z","XX","XX","JFC19","Karim.Hfad","<3438688","53579100","20606800","51204600","37644800","=_3649580","8482950","EUR","F étrangers","RIYAHI.8568","M - Frais communs - Achats de Travaux, Etudes et Prestations de service","SPOC","34","Echue dans 60 jours"
"241","OCP_74092:25383","A_608706_93101187","Port Jorf","JORF Z","Fournisseur X","Missing","Missing","Missing","Missing","B639663","59117000","52570300","57370500","50351900",">_5333680","5657960","MAD","F locaux","KANFAOUI.79","S - stocks","Litige","7","Echue dans 7 jours"
"243","JF8_91859:12197","330_0003_565638","Port Jorf","JORF Z","Fournisseur Z","XX","XX","JFC20","Karim.Hfad",">902825","32462400","337766","1533600","16410200","?_578584","11053700","USD","F étrangers","RIYAHI.8569","M - Frais communs - Achats de Travaux, Etudes et Prestations de service","SPOC","14","Echue dans 30 jours"
"251","OCP_24684:42418","J_49679_9691287","Port Jorf","JORF Z","Fournisseur X","Missing","Missing","Missing","Missing","F99170","42761600","32727600","38896600","32391300","=_4690733","5144690","MAD","F locaux","KANFAOUI.80","S - stocks","Litige","-6","Echue"
"254","OCP_66461:93578","30_0003_500546","Port Jorf","JORF B","Fournisseur A","XX","XX","JFC20","Karim.Hfad","<3576596","75943100","12645500","19476200","20661800","E_1346482","12192900","MAD","F locaux","KARAMI.5923","E - Equipement","SPOC","34","Echue dans 60 jours"
"261","OCP_45013:86671","U_382069_90281904","Port Jorf","JORF Z","Fournisseur X","Missing","Missing","Missing","Missing","<6564576","28437800","6078860","7651210","24188000","D_376751","9771700","MAD","F locaux","KANFAOUI.81","S - stocks","Litige","8","Echue dans 30 jours"
"264","OCP_20549:51412","30_0003_500547","Port Jorf","JORF B","Fournisseur A","XX","XX","JFC21","Karim.Hfad","D1484653","80499900","8628860","36688700","51535700","C_3896491","4893060","MAD","F locaux","KARAMI.5924","E - Equipement","SPOC","4","Echue dans 7 jours"
"271","OCP_69819:95480","Q_551610_18901992","Port Jorf","JORF Z","Fournisseur X","Missing","Missing","Missing","Missing","C2625506","20987200","2187220","2608650","16913700",">_4285469","3859200","MAD","F locaux","KANFAOUI.82","S - stocks","Litige","47","Echue dans 60 jours"
"275","OCP_16217:64025","0921_0090_33254442","Port Jorf","JORF Z","Fournisseur B","XX","XX","JFC21","Karim.Hfad","E3928758","4923880","1108300","1638990","4772020","E_2978655","1646970","MAD","F locaux","HASSAN.3360","M - Frais communs - Achats de Travaux, Etudes et Prestations de service","SPOC","46","Echue dans 60 jours"
"281","JF8_98616:14263","X_409262_19037142","Port Jorf","JORF Z","Fournisseur X","Missing","Missing","Missing","Missing","B6525980","84197200","2223410","35943800","3423400","?_4918519","1270730","MAD","F locaux","KANFAOUI.83","S - stocks","Litige","-8","Echue"
"285","OCP_9296:39703","0921_0090_33254443","Port Jorf","JORF Z","Fournisseur B","XX","XX","JFC22","Karim.Hfad","=846818","11530800","4005710","5033890","2197640","=_888306","422512","MAD","F locaux","HASSAN.3361","M - Frais communs - Achats de Travaux, Etudes et Prestations de service","SPOC","-1","Echue"
"291","JF8_9218:17241","=_974082_31571888","Port Jorf","JORF Z","Fournisseur X","Missing","Missing","Missing","Missing","=3273047","6030430","868570","5208980","3177220","C_5631010","1267340","MAD","F locaux","KANFAOUI.84","S - stocks","Litige","21","Echue dans 30 jours"
"296","OCP_24350:12118","322_0117_561358681","Port Jorf","JORF B","Fournisseur C","XX","XX","JFC22","Karim.Hfad","@5805256","67239800","7059250","11081300","11700500","C_408459","3374910","MAD","F locaux","RABII.917","S - stocks","SPOC","-6","Echue"
"301","OCP_94336:98117","Y_717388_17397729","Port Jorf","JORF Z","Fournisseur X","Missing","Missing","Missing","Missing","D5320408","53932900","28791800","31858600","35308800","E_2858372","24314100","MAD","F locaux","KANFAOUI.85","S - stocks","Litige","49","Echue dans 60 jours"
"311","OCP_53633:83176","<_664995_92685260","Port Jorf","JORF Z","Fournisseur X","Missing","Missing","Missing","Missing","E1409750","12033200","674567","2908800","5661220","F_310825","5494880","MAD","F locaux","KANFAOUI.86","S - stocks","Litige","-4","Echue"
"321","JF8_47422:2754","V_589_4361431","Port Jorf","JORF Z","Fournisseur X","Missing","Missing","Missing","Missing","@1062330","13972700","365949","13242100","13831300","C_3444347","12739000","MAD","F locaux","KANFAOUI.87","S - stocks","Litige","57","Echue dans 60 jours"
"331","OCP_96350:49341","K_492780_28043022","Port Jorf","JORF Z","Fournisseur X","Missing","Missing","Missing","Missing","C4597197","8891890","431508","1498850","482441","C_168943","29374","MAD","F locaux","KANFAOUI.88","S - stocks","Litige","40","Echue dans 60 jours"
"341","OCP_90721:25291","P_759152_67293862","Port Jorf","JORF Z","Fournisseur X","Missing","Missing","Missing","Missing","<5693389","730127","1684","3865","226239","=_2039833","124849","MAD","F locaux","KANFAOUI.89","S - stocks","Litige","-2","Echue"
"351","JF8_96754:8891","N_812305_36346995","Port Jorf","JORF Z","Fournisseur X","Missing","Missing","Missing","Missing","E528708","68292500","2516220","41674500","8464280","?_1830017","2934050","MAD","F locaux","KANFAOUI.90","S - stocks","Litige","46","Echue dans 60 jours"
"361","OCP_29810:45568","Y_198935_85568631","Port Jorf","JORF Z","Fournisseur X","Missing","Missing","Missing","Missing","C1127896","57347300","28862800","31680000","1487620","D_2449187","702596","MAD","F locaux","KANFAOUI.91","S - stocks","Litige","-19","Echue"
